table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,numeric_precision,numeric_scale
Codes_ArchInterpAltern,code,1,,NO,smallint,,16.0,0.0
Codes_ArchInterpAltern,description,2,,YES,text,,,
Codes_ArchInterpPrim,code,1,,NO,smallint,,16.0,0.0
Codes_ArchInterpPrim,description,2,,YES,text,,,
Codes_ConstructQual,code,1,,NO,smallint,,16.0,0.0
Codes_ConstructQual,description,2,,YES,text,,,
Codes_FloorMat,code,1,,NO,smallint,,16.0,0.0
Codes_FloorMat,description,2,,YES,text,,,
Codes_FuncInterpAltern,code,1,,NO,smallint,,16.0,0.0
Codes_FuncInterpAltern,description,2,,YES,text,,,
Codes_FuncInterpPrim,code,1,,NO,smallint,,16.0,0.0
Codes_FuncInterpPrim,description,2,,YES,text,,,
Codes_McomplexFun,code,1,,NO,smallint,,16.0,0.0
Codes_McomplexFun,description,2,,YES,text,,,
Codes_McomplexGen,code,1,,NO,smallint,,16.0,0.0
Codes_McomplexGen,description,2,,YES,text,,,
Codes_altering_features,code,1,,NO,smallint,,16.0,0.0
Codes_altering_features,description,2,,YES,text,,,
Codes_archFeatures,code,1,,NO,smallint,,16.0,0.0
Codes_archFeatures,description,2,,YES,text,,,
Codes_boundInfoQual,code,1,,NO,smallint,,16.0,0.0
Codes_boundInfoQual,description,2,,YES,text,,,
Codes_burials,code,1,,NO,smallint,,16.0,0.0
Codes_burials,description,2,,YES,text,,,
Codes_burnedStruct,code,1,,NO,smallint,,16.0,0.0
Codes_burnedStruct,description,2,,YES,text,,,
Codes_ceramicAbundance,code,1,,NO,smallint,,16.0,0.0
Codes_ceramicAbundance,description,2,,YES,text,,,
Codes_complexFunCivic,code,1,,NO,smallint,,16.0,0.0
Codes_complexFunCivic,description,2,,YES,text,,,
Codes_complexFunOther,code,1,,NO,smallint,,16.0,0.0
Codes_complexFunOther,description,2,,YES,text,,,
Codes_complexFunRes,code,1,,NO,smallint,,16.0,0.0
Codes_complexFunRes,description,2,,YES,text,,,
Codes_complexFunTemp,code,1,,NO,smallint,,16.0,0.0
Codes_complexFunTemp,description,2,,YES,text,,,
Codes_complexFunWhole,code,1,,NO,smallint,,16.0,0.0
Codes_complexFunWhole,description,2,,YES,text,,,
Codes_complexGenAltern,code,1,,NO,smallint,,16.0,0.0
Codes_complexGenAltern,description,2,,YES,text,,,
Codes_complexGenPrim,code,1,,NO,smallint,,16.0,0.0
Codes_complexGenPrim,description,2,,YES,text,,,
Codes_figurineConcBarbour,code,1,,NO,smallint,,16.0,0.0
Codes_figurineConcBarbour,description,2,,YES,text,,,
Codes_intrusiveSherd,code,1,,NO,smallint,,16.0,0.0
Codes_intrusiveSherd,description,2,,YES,text,,,
Codes_lastBuildPhase,code,1,,NO,smallint,,16.0,0.0
Codes_lastBuildPhase,description,2,,YES,text,,,
Codes_materials,code,1,,NO,smallint,,16.0,0.0
Codes_materials,description,2,,YES,text,,,
Codes_midden,code,1,,NO,smallint,,16.0,0.0
Codes_midden,description,2,,YES,text,,,
Codes_neighborhoodChar,code,1,,NO,smallint,,16.0,0.0
Codes_neighborhoodChar,description,2,,YES,text,,,
Codes_otherArchFeatures,code,1,,NO,smallint,,16.0,0.0
Codes_otherArchFeatures,description,2,,YES,text,,,
Codes_overall_condition,code,1,,NO,smallint,,16.0,0.0
Codes_overall_condition,description,2,,YES,text,,,
Codes_personnel,personnelCode,1,,NO,smallint,,16.0,0.0
Codes_personnel,description,2,,NO,text,,,
Codes_plowing,code,1,,NO,smallint,,16.0,0.0
Codes_plowing,description,2,,YES,text,,,
Codes_quarter,code,1,,NO,smallint,,16.0,0.0
Codes_quarter,description,2,,YES,text,,,
Codes_slope,code,1,,NO,smallint,,16.0,0.0
Codes_slope,description,2,,YES,text,,,
Codes_stoneDist,code,1,,NO,smallint,,16.0,0.0
Codes_stoneDist,description,2,,YES,text,,,
Codes_stoneQuant,code,1,,NO,smallint,,16.0,0.0
Codes_stoneQuant,description,2,,YES,text,,,
Codes_vegetation,code,1,,NO,smallint,,16.0,0.0
Codes_vegetation,description,2,,YES,text,,,
Codes_wallCoreOther,code,1,,NO,smallint,,16.0,0.0
Codes_wallCoreOther,description,2,,YES,text,,,
Codes_wallCoreStone,code,1,,NO,smallint,,16.0,0.0
Codes_wallCoreStone,description,2,,YES,text,,,
Codes_wallFacing,code,1,,NO,smallint,,16.0,0.0
Codes_wallFacing,description,2,,YES,text,,,
Codes_water,code,1,,NO,smallint,,16.0,0.0
Codes_water,description,2,,YES,text,,,
Codes_workshopField,code,1,,NO,smallint,,16.0,0.0
Codes_workshopField,description,2,,YES,text,,,
Codes_workshopKrotser,code,1,,NO,smallint,,16.0,0.0
Codes_workshopKrotser,description,2,,YES,text,,,
Codes_workshopSpence1,code,1,,NO,smallint,,16.0,0.0
Codes_workshopSpence1,description,2,,YES,text,,,
Codes_workshopSpence2,code,1,,NO,smallint,,16.0,0.0
Codes_workshopSpence2,description,2,,YES,text,,,
Plazas,SSN,1,,NO,smallint,,16.0,0.0
Plazas,PlazaNo,2,,YES,smallint,,16.0,0.0
admin,SSN,1,,NO,smallint,,16.0,0.0
admin,collectionYear,2,,YES,smallint,,16.0,0.0
admin,collectionQuarter,3,,YES,smallint,,16.0,0.0
admin,analysisYear,4,,YES,smallint,,16.0,0.0
admin,analysisQuarter,5,,YES,smallint,,16.0,0.0
archInterp,SSN,1,,NO,smallint,,16.0,0.0
archInterp,neighborhoodChar,2,,YES,smallint,,16.0,0.0
archInterp,constructQual,3,,YES,smallint,,16.0,0.0
archInterp,boundInfoQual,4,,YES,smallint,,16.0,0.0
archInterp,insubstantialCount,5,,YES,smallint,,16.0,0.0
archInterp,arch1PMic,6,,YES,smallint,,16.0,0.0
archInterp,arch1McTl,7,,YES,smallint,,16.0,0.0
archInterp,arch1XlMe,8,,YES,smallint,,16.0,0.0
archInterp,arch1Oxto,9,,YES,smallint,,16.0,0.0
archInterp,arch2PMic,10,,YES,smallint,,16.0,0.0
archInterp,arch2McTl,11,,YES,smallint,,16.0,0.0
archInterp,arch2XlMe,12,,YES,smallint,,16.0,0.0
archInterp,arch2Oxto,13,,YES,smallint,,16.0,0.0
archInterp,func1PMic,14,,YES,smallint,,16.0,0.0
archInterp,func1McTl,15,,YES,smallint,,16.0,0.0
archInterp,func1XlMe,16,,YES,smallint,,16.0,0.0
archInterp,func1Oxto,17,,YES,smallint,,16.0,0.0
archInterp,func2PMic,18,,YES,smallint,,16.0,0.0
archInterp,func2McTl,19,,YES,smallint,,16.0,0.0
archInterp,func2XlMe,20,,YES,smallint,,16.0,0.0
archInterp,func2Oxto,21,,YES,smallint,,16.0,0.0
archMaterial,SSN,1,,NO,smallint,,16.0,0.0
archMaterial,stoneQuant,2,,YES,smallint,,16.0,0.0
archMaterial,stoneDist,3,,YES,smallint,,16.0,0.0
archMaterial,stoneCut,4,,YES,smallint,,16.0,0.0
archMaterial,lajas,5,,YES,smallint,,16.0,0.0
archMaterial,tepetate,6,,YES,smallint,,16.0,0.0
archMaterial,adobe,7,,YES,smallint,,16.0,0.0
archMaterial,xalnene,8,,YES,smallint,,16.0,0.0
archMaterial,cascajo,9,,YES,smallint,,16.0,0.0
archMaterial,concrete,10,,YES,smallint,,16.0,0.0
archMaterial,plasterPaint,11,,YES,smallint,,16.0,0.0
archMaterial,plasterUnpaint,12,,YES,smallint,,16.0,0.0
archMaterial,burntClay,13,,YES,smallint,,16.0,0.0
archMaterial,almena,14,,YES,smallint,,16.0,0.0
archMaterial,burnedStruct,15,,YES,smallint,,16.0,0.0
archMaterial,floors,16,,YES,smallint,,16.0,0.0
archMaterial,walls,17,,YES,smallint,,16.0,0.0
archMaterial,drains,18,,YES,smallint,,16.0,0.0
archMaterial,wallFixtures,19,,YES,smallint,,16.0,0.0
archMaterial,murals,20,,YES,smallint,,16.0,0.0
archMaterial,columns,21,,YES,smallint,,16.0,0.0
archMaterial,taludes,22,,YES,smallint,,16.0,0.0
archMaterial,tableros,23,,YES,smallint,,16.0,0.0
archMaterial,floorMaterial,24,,YES,smallint,,16.0,0.0
archMaterial,wallCoreStone,25,,YES,smallint,,16.0,0.0
archMaterial,wallCoreOthMat,26,,YES,smallint,,16.0,0.0
archMaterial,wallFacing,27,,YES,smallint,,16.0,0.0
archMaterial,wells,28,,YES,smallint,,16.0,0.0
archMaterial,jagueys,29,,YES,smallint,,16.0,0.0
archMaterial,puestos,30,,YES,smallint,,16.0,0.0
archMaterial,freeStandWall,31,,YES,smallint,,16.0,0.0
artifactOther,SSN,1,,NO,smallint,,16.0,0.0
artifactOther,workedBone,2,,YES,smallint,,16.0,0.0
artifactOther,shellTot,3,,YES,smallint,,16.0,0.0
artifactOther,shellWorked,4,,YES,smallint,,16.0,0.0
artifactOther,unworkedBone,5,,YES,smallint,,16.0,0.0
cerNonVessel,SSN,1,,NO,smallint,,16.0,0.0
cerNonVessel,figTot,2,,YES,smallint,,16.0,0.0
cerNonVessel,figHead,3,,YES,smallint,,16.0,0.0
cerNonVessel,figPPat,4,,YES,smallint,,16.0,0.0
cerNonVessel,figPatl,5,,YES,smallint,,16.0,0.0
cerNonVessel,figTzac,6,,YES,smallint,,16.0,0.0
cerNonVessel,figMicc,7,,YES,smallint,,16.0,0.0
cerNonVessel,figTlam,8,,YES,smallint,,16.0,0.0
cerNonVessel,figXola,9,,YES,smallint,,16.0,0.0
cerNonVessel,figMete,10,,YES,smallint,,16.0,0.0
cerNonVessel,figTolt,11,,YES,smallint,,16.0,0.0
cerNonVessel,figAzte,12,,YES,smallint,,16.0,0.0
cerNonVessel,figPupp,13,,YES,smallint,,16.0,0.0
cerNonVessel,spindleWhorl,14,,YES,smallint,,16.0,0.0
cerNonVessel,sealStamp,15,,YES,smallint,,16.0,0.0
cerNonVessel,earSpool,16,,YES,smallint,,16.0,0.0
cerNonVessel,whistle,17,,YES,smallint,,16.0,0.0
cerNonVessel,flute,18,,YES,smallint,,16.0,0.0
cerNonVessel,ceramicDisk,19,,YES,smallint,,16.0,0.0
cerNonVessel,candTot,20,,YES,smallint,,16.0,0.0
cerNonVessel,candCoat,21,,YES,smallint,,16.0,0.0
cerNonVessel,candAtoy,22,,YES,smallint,,16.0,0.0
cerNonVessel,candEXol,23,,YES,smallint,,16.0,0.0
cerNonVessel,candLXol,24,,YES,smallint,,16.0,0.0
cerNonVessel,candMete,25,,YES,smallint,,16.0,0.0
cerNonVessel,candComm,26,,YES,smallint,,16.0,0.0
cerPhTot,SSN,1,,NO,smallint,,16.0,0.0
cerPhTot,totAll,2,,YES,smallint,,16.0,0.0
cerPhTot,totPrec,3,,YES,smallint,,16.0,0.0
cerPhTot,totCuan,4,,YES,smallint,,16.0,0.0
cerPhTot,totTezo,5,,YES,smallint,,16.0,0.0
cerPhTot,totPatl,6,,YES,smallint,,16.0,0.0
cerPhTot,totTzac,7,,YES,smallint,,16.0,0.0
cerPhTot,totMicc,8,,YES,smallint,,16.0,0.0
