fq_table_name,tablename,column_name,null_percent,distinct_values_estimate,null_count_estimate
tmp_df9.cerVessel,cerVessel,censerPatl,0.0,5.0,0
tmp_df9.cerVessel,cerVessel,censerTzac,0.0,5.0,0
tmp_df9.cerVessel,cerVessel,censerMicc,0.0,21.0,0
tmp_df9.cerVessel,cerVessel,censerTlam,0.0,34.0,0
tmp_df9.cerVessel,cerVessel,censerXola,0.0,49.0,0
tmp_df9.cerVessel,cerVessel,censerMete,0.0,18.0,0
tmp_df9.cerVessel,cerVessel,censerOxto,0.0,3.0,0
tmp_df9.cerVessel,cerVessel,censerXome,0.0,2.0,0
tmp_df9.cerVessel,cerVessel,censerMaza,0.0,5.0,0
tmp_df9.cerVessel,cerVessel,censerAzte,0.0,3.0,0
tmp_df9.cerVessel,cerVessel,nubbinTot,0.0,48.0,0
tmp_df9.cerVessel,cerVessel,nubbinPatl,0.0,4.0,0
tmp_df9.cerVessel,cerVessel,nubbinApet,0.0,3.0,0
tmp_df9.cerVessel,cerVessel,nubbinInset,0.0,26.0,0
tmp_df9.cerVessel,cerVessel,nubbinFlush,0.0,39.0,0
tmp_df9.cerVessel,cerVessel,nubbinAtoy,0.0,3.0,0
tmp_df9.cerVessel,cerVessel,nubbinXola,0.0,7.0,0
tmp_df9.cerVessel,cerVessel,nubbinMete,0.0,7.0,0
tmp_df9.cerVessel,cerVessel,toTot,0.0,181.0,0
tmp_df9.cerVessel,cerVessel,toRegular,0.0,162.0,0
tmp_df9.cerVessel,cerVessel,toCoarse,0.0,41.0,0
tmp_df9.cerVessel,cerVessel,smoTot,0.0,158.0,0
tmp_df9.cerVessel,cerVessel,smoTlam,0.0,26.0,0
tmp_df9.cerVessel,cerVessel,smoXola,0.0,147.0,0
tmp_df9.cerVessel,cerVessel,smoMete,0.0,18.0,0
tmp_df9.cerVessel,cerVessel,shrdStamped,0.0,5.0,0
tmp_df9.cerVessel,cerVessel,shrdPlanoR,0.0,9.0,0
tmp_df9.cerVessel,cerVessel,shrdStucco,0.0,8.0,0
tmp_df9.cerVessel,cerVessel,shrdIncised,0.0,33.0,0
tmp_df9.cerVessel,cerVessel,foreignTot,0.0,22.0,0
tmp_df9.cerVessel,cerVessel,mayaLow,0.0,4.0,0
tmp_df9.cerVessel,cerVessel,mayaHigh,0.0,3.0,0
tmp_df9.cerVessel,cerVessel,huastec,0.0,8.0,0
tmp_df9.cerVessel,cerVessel,tajin,0.0,4.0,0
tmp_df9.cerVessel,cerVessel,gulfCoast,0.0,8.0,0
tmp_df9.cerVessel,cerVessel,monteAlban,0.0,9.0,0
tmp_df9.cerVessel,cerVessel,oaxaca,0.0,9.0,0
tmp_df9.cerVessel,cerVessel,foreignOther,0.0,17.0,0
tmp_df9.cerVessel,cerVessel,adornos,0.0,13.0,0
tmp_df9.cerVessel,cerVessel,minatures,0.0,11.0,0
tmp_df9.cerVessel,cerVessel,copas,0.0,16.0,0
tmp_df9.cerVessel,cerVessel,matteWare,0.0,25.0,0
tmp_df9.cerVessel,cerVessel,granTot,0.0,50.0,0
tmp_df9.cerVessel,cerVessel,granPMic,0.0,12.0,0
tmp_df9.cerVessel,cerVessel,granMicc,0.0,31.0,0
tmp_df9.cerVessel,cerVessel,granTlam,0.0,27.0,0
tmp_df9.cerVessel,cerVessel,granXola,0.0,11.0,0
tmp_df9.cerVessel,cerVessel,granMete,0.0,4.0,0
tmp_df9.cerVessel,cerVessel,burner3P,0.0,35.0,0
tmp_df9.archMaterial,archMaterial,columns,0.0,9.0,0
tmp_df9.cerVessel,cerVessel,coverHandled,0.0,46.0,0
tmp_df9.lithicFlaked,lithicFlaked,SSN,0.0,-1.0,0
tmp_df9.lithicFlaked,lithicFlaked,obsidianTot,0.0,386.0,0
tmp_df9.lithicFlaked,lithicFlaked,obsidianBlades,0.0,189.0,0
tmp_df9.lithicFlaked,lithicFlaked,obsidianWaste,0.0,231.0,0
tmp_df9.lithicFlaked,lithicFlaked,obsidianScrapers,0.0,78.0,0
tmp_df9.lithicFlaked,lithicFlaked,obsidianPoints,0.0,60.0,0
tmp_df9.lithicFlaked,lithicFlaked,obsidianCores,0.0,53.0,0
tmp_df9.lithicFlaked,lithicFlaked,obsidianKnives,0.0,31.0,0
tmp_df9.lithicFlaked,lithicFlaked,obsidianEccentrics,0.0,7.0,0
tmp_df9.lithicFlaked,lithicFlaked,obsidianMagueyS,0.0,5.0,0
tmp_df9.lithicFlaked,lithicFlaked,obsidianUtFlake,0.0,43.0,0
tmp_df9.lithicFlaked,lithicFlaked,obsidianNodules,0.0,57.0,0
tmp_df9.lithicFlaked,lithicFlaked,basaltTot,0.0,43.0,0
tmp_df9.lithicFlaked,lithicFlaked,basaltTools,0.0,19.0,0
tmp_df9.lithicFlaked,lithicFlaked,chert,0.0,9.0,0
tmp_df9.lithicFlaked,lithicFlaked,quartz,0.0,8.0,0
tmp_df9.lithicGround,lithicGround,SSN,0.0,-1.0,0
tmp_df9.lithicGround,lithicGround,manos,0.0,27.0,0
tmp_df9.lithicGround,lithicGround,metates,0.0,26.0,0
tmp_df9.lithicGround,lithicGround,mortars,0.0,10.0,0
tmp_df9.lithicGround,lithicGround,pestles,0.0,6.0,0
tmp_df9.lithicGround,lithicGround,plasterSmoothers,0.0,24.0,0
tmp_df9.lithicGround,lithicGround,plumbBobs,0.0,5.0,0
tmp_df9.lithicGround,lithicGround,wallFixtures,0.0,5.0,0
tmp_df9.lithicGround,lithicGround,fireGods,0.0,5.0,0
tmp_df9.lithicGround,lithicGround,sculptureFrags,0.0,6.0,0
tmp_df9.lithicGround,lithicGround,hammerStones,0.0,24.0,0
tmp_df9.lithicGround,lithicGround,slingStones,0.0,4.0,0
tmp_df9.lithicGround,lithicGround,smoothStones,0.0,8.0,0
tmp_df9.lithicGround,lithicGround,whetStones,0.0,4.0,0
tmp_df9.lithicGround,lithicGround,palettes,0.0,6.0,0
tmp_df9.lithicGround,lithicGround,celts,0.0,2.0,0
tmp_df9.lithicGround,lithicGround,lajasReworked,0.0,12.0,0
tmp_df9.lithicGround,lithicGround,anvils,0.0,4.0,0
tmp_df9.lithicGround,lithicGround,drains,0.0,5.0,0
tmp_df9.lithicGround,lithicGround,drainCovers,0.0,5.0,0
tmp_df9.lithicGround,lithicGround,groundstoneOther,0.0,12.0,0
tmp_df9.lithicGround,lithicGround,slateTot,0.0,12.0,0
tmp_df9.lithicGround,lithicGround,slatePainted,0.0,4.0,0
tmp_df9.lithicGround,lithicGround,alabaster,0.0,7.0,0
tmp_df9.lithicGround,lithicGround,serpentine,0.0,8.0,0
tmp_df9.lithicGround,lithicGround,jade,0.0,7.0,0
tmp_df9.artifactOther,artifactOther,SSN,0.0,-1.0,0
tmp_df9.artifactOther,artifactOther,workedBone,0.0,5.0,0
