fq_table_name,tablename,column_name,null_percent,distinct_values_estimate,null_count_estimate
tmp_df10.interpCodes,interpCodes,Code,0.0,-1.0,0
tmp_df10.codeTable,codeTable,ID,0.0,-1.0,0
tmp_df10.codeTable,codeTable,SSN,0.0,5058.0,0
tmp_df10.codeTable,codeTable,Code,0.0,99.0,0
tmp_df10.codeTable,codeTable,Variable,0.0,77.0,0
tmp_df10.codeTable,codeTable,Where,0.0,2.0,0
tmp_df10.provTable,provTable,SSN,0.0,-1.0,0
tmp_df10.provTable,provTable,Site,0.0,197.0,0
tmp_df10.provTable,provTable,Subsite,0.0,190.0,0
tmp_df10.provTable,provTable,Unit,0.0,142.0,0
tmp_df10.provTable,provTable,Northing,0.0,-0.1239604,0
tmp_df10.provTable,provTable,Easting,0.0,-0.14316832,0
tmp_df10.archToSSN,archToSSN,ID,0.0,-1.0,0
tmp_df10.archToSSN,archToSSN,ArchPolyID,0.0,-0.59292763,0
tmp_df10.archToSSN,archToSSN,SSN,0.0,-0.5794956,0
tmp_df10.archToSSN,archToSSN,Area_SSN_Coverage,0.0,-0.87033993,0
tmp_df10.codeCodes,codeCodes,Code,0.0,-1.0,0
tmp_df10.codeCodes,codeCodes,Description,0.0,-0.99065423,0
tmp_df10.artifactTable,artifactTable,ID,0.0,-1.0,0
tmp_df10.artifactTable,artifactTable,ArtCode1,0.0,7.0,0
tmp_df10.artifactTable,artifactTable,ArtCode2,0.0,22.0,0
tmp_df10.artifactTable,artifactTable,ArtCode3,0.0,125.0,0
tmp_df10.artifactTable,artifactTable,SSN,0.0,4980.0,0
tmp_df10.artifactTable,artifactTable,Count,0.0,911.0,0
tmp_df10.artifactTable,artifactTable,Where,0.0,2.0,0
tmp_df10.artifactCodes,artifactCodes,Code,0.0,-1.0,0
tmp_df10.artifactCodes,artifactCodes,Description,0.0,-1.0,0
tmp_df10.interpTable,interpTable,ID,0.0,-1.0,0
tmp_df10.interpTable,interpTable,SSN,0.0,5045.0,0
tmp_df10.interpTable,interpTable,Code,0.0,81.0,0
tmp_df10.interpTable,interpTable,Variable,0.0,51.0,0
tmp_df10.interpTable,interpTable,Where,0.0,2.0,0
tmp_df10.interpCodes,interpCodes,Description,0.0,-0.9879518,0
tmp_df10.totalsTable,totalsTable,ID,0.0,-1.0,0
tmp_df10.totalsTable,totalsTable,SSN,0.0,5028.0,0
tmp_df10.totalsTable,totalsTable,Count,0.0,551.0,0
tmp_df10.totalsTable,totalsTable,Variable,0.0,21.0,0
tmp_df10.totalsTable,totalsTable,Where,0.0,2.0,0
