table_name,row_estimate,column_count,table_size,index_size,total_size,index_count,bloat_bytes,bloat_percent,bloat_size
v401,5050,13,344 kB,128 kB,512 kB,1,157144.66364416125,44.61,0.15 MB
v301,5050,14,328 kB,128 kB,496 kB,1,157144.66364416125,46.79,0.15 MB
v202,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v203,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v204,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v205,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v206,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v207,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v208,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v209,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v210,5050,13,304 kB,136 kB,472 kB,1,157144.66364416125,50.48,0.15 MB
v211,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v212,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v214,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v215,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v216,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v217,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v218,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v219,5050,13,304 kB,136 kB,472 kB,1,157144.66364416125,50.48,0.15 MB
v213,5050,13,304 kB,144 kB,480 kB,1,157144.66364416125,50.48,0.15 MB
v201,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v302,5050,13,304 kB,128 kB,464 kB,1,157144.66364416125,50.48,0.15 MB
v303,5050,13,304 kB,152 kB,488 kB,1,157144.66364416125,50.48,0.15 MB
v304,5050,13,304 kB,136 kB,472 kB,1,157144.66364416125,50.48,0.15 MB
v220,5050,4,184 kB,128 kB,344 kB,1,157144.66364416125,83.4,0.15 MB
ssn_master,5050,1,184 kB,128 kB,344 kB,1,157144.66364416125,83.4,0.15 MB
v305,5050,2,184 kB,128 kB,344 kB,1,157144.66364416125,83.4,0.15 MB
