table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,numeric_precision,numeric_scale
ssn_master,ssn,1,,NO,smallint,,16.0,0.0
v201,ssn,1,,NO,smallint,,16.0,0.0
v201,fldwrk1,2,,YES,smallint,,16.0,0.0
v201,fldwrk2,3,,YES,smallint,,16.0,0.0
v201,fldwrk3,4,,YES,smallint,,16.0,0.0
v201,fldwrk4,5,,YES,smallint,,16.0,0.0
v201,fldwrk5,6,,YES,smallint,,16.0,0.0
v201,collyear,7,,YES,smallint,,16.0,0.0
v201,collqurt,8,,YES,smallint,,16.0,0.0
v201,lstbuild,9,,YES,smallint,,16.0,0.0
v201,burials,10,,YES,smallint,,16.0,0.0
v201,midden,11,,YES,smallint,,16.0,0.0
v201,qntstone,12,,YES,smallint,,16.0,0.0
v201,dststone,13,,YES,smallint,,16.0,0.0
v202,ssn,1,,NO,smallint,,16.0,0.0
v202,cutstone,2,,YES,smallint,,16.0,0.0
v202,lajas,3,,YES,smallint,,16.0,0.0
v202,tepetate,4,,YES,smallint,,16.0,0.0
v202,adobe,5,,YES,smallint,,16.0,0.0
v202,xalnene,6,,YES,smallint,,16.0,0.0
v202,cascajo,7,,YES,smallint,,16.0,0.0
v202,concrete,8,,YES,smallint,,16.0,0.0
v202,plstrunp,9,,YES,smallint,,16.0,0.0
v202,plstrpnt,10,,YES,smallint,,16.0,0.0
v202,burnclay,11,,YES,smallint,,16.0,0.0
v202,almena,12,,YES,smallint,,16.0,0.0
v202,brndstrc,13,,YES,smallint,,16.0,0.0
v203,ssn,1,,NO,smallint,,16.0,0.0
v203,floors,2,,YES,smallint,,16.0,0.0
v203,walls,3,,YES,smallint,,16.0,0.0
v203,drains,4,,YES,smallint,,16.0,0.0
v203,wallfixt,5,,YES,smallint,,16.0,0.0
v203,murals,6,,YES,smallint,,16.0,0.0
v203,COLUMNS,7,,YES,smallint,,16.0,0.0
v203,taludes,8,,YES,smallint,,16.0,0.0
v203,tableros,9,,YES,smallint,,16.0,0.0
v203,situflrs,10,,YES,smallint,,16.0,0.0
v203,taludstn,11,,YES,smallint,,16.0,0.0
v203,wallmatr,12,,YES,smallint,,16.0,0.0
v203,wallface,13,,YES,smallint,,16.0,0.0
v204,ssn,1,,NO,smallint,,16.0,0.0
v204,intrushd,2,,YES,smallint,,16.0,0.0
v204,height,3,,YES,smallint,,16.0,0.0
v204,pmicarc1,4,,YES,smallint,,16.0,0.0
v204,mctlarc1,5,,YES,smallint,,16.0,0.0
v204,xlmearc1,6,,YES,smallint,,16.0,0.0
v204,oxtoarc1,7,,YES,smallint,,16.0,0.0
v204,pmicarc2,8,,YES,smallint,,16.0,0.0
v204,mctlarc2,9,,YES,smallint,,16.0,0.0
v204,xlmearc2,10,,YES,smallint,,16.0,0.0
v204,oxtoarc2,11,,YES,smallint,,16.0,0.0
v204,qualcnst,12,,YES,smallint,,16.0,0.0
v204,pmicfnc1,13,,YES,smallint,,16.0,0.0
v205,ssn,1,,NO,smallint,,16.0,0.0
v205,mctlfnc1,2,,YES,smallint,,16.0,0.0
v205,xlmefnc1,3,,YES,smallint,,16.0,0.0
v205,oxtofnc1,4,,YES,smallint,,16.0,0.0
v205,pmicfnc2,5,,YES,smallint,,16.0,0.0
v205,mctlfnc2,6,,YES,smallint,,16.0,0.0
v205,xlmefnc2,7,,YES,smallint,,16.0,0.0
v205,oxtofnc2,8,,YES,smallint,,16.0,0.0
v205,pttzcx1,9,,YES,smallint,,16.0,0.0
v205,mctlcx1,10,,YES,smallint,,16.0,0.0
v205,xlmecx1,11,,YES,smallint,,16.0,0.0
v205,pttzcx2,12,,YES,smallint,,16.0,0.0
v205,mctlcx2,13,,YES,smallint,,16.0,0.0
v206,ssn,1,,NO,smallint,,16.0,0.0
v206,xlmecx2,2,,YES,smallint,,16.0,0.0
v206,pttzcxfn,3,,YES,smallint,,16.0,0.0
