fq_table_name,tablename,column_name,null_percent,distinct_values_estimate,null_count_estimate
tmp_df8.v202,v202,adobe,0.0,8.0,0
tmp_df8.v202,v202,xalnene,0.0,8.0,0
tmp_df8.v202,v202,cascajo,0.0,8.0,0
tmp_df8.v202,v202,concrete,0.0,8.0,0
tmp_df8.ssn_master,ssn_master,ssn,0.0,-1.0,0
tmp_df8.v201,v201,ssn,0.0,-1.0,0
tmp_df8.v201,v201,fldwrk1,0.0,19.0,0
tmp_df8.v201,v201,fldwrk2,0.0,24.0,0
tmp_df8.v201,v201,fldwrk3,0.0,29.0,0
tmp_df8.v201,v201,fldwrk4,0.0,28.0,0
tmp_df8.v201,v201,fldwrk5,0.0,28.0,0
tmp_df8.v201,v201,collyear,0.0,10.0,0
tmp_df8.v201,v201,collqurt,0.0,5.0,0
tmp_df8.v201,v201,lstbuild,0.0,8.0,0
tmp_df8.v201,v201,burials,0.0,10.0,0
tmp_df8.v201,v201,midden,0.0,4.0,0
tmp_df8.v201,v201,qntstone,0.0,11.0,0
tmp_df8.v201,v201,dststone,0.0,5.0,0
tmp_df8.v202,v202,ssn,0.0,-1.0,0
tmp_df8.v202,v202,cutstone,0.0,8.0,0
tmp_df8.v202,v202,lajas,0.0,8.0,0
tmp_df8.v202,v202,tepetate,0.0,8.0,0
tmp_df8.v202,v202,plstrunp,0.0,7.0,0
tmp_df8.v202,v202,plstrpnt,0.0,7.0,0
tmp_df8.v202,v202,burnclay,0.0,8.0,0
tmp_df8.v202,v202,almena,0.0,16.0,0
tmp_df8.v202,v202,brndstrc,0.0,5.0,0
tmp_df8.v203,v203,ssn,0.0,-1.0,0
tmp_df8.v203,v203,floors,0.0,9.0,0
tmp_df8.v203,v203,walls,0.0,9.0,0
tmp_df8.v203,v203,drains,0.0,8.0,0
tmp_df8.v203,v203,wallfixt,0.0,5.0,0
tmp_df8.v203,v203,murals,0.0,8.0,0
tmp_df8.v203,v203,COLUMNS,0.0,9.0,0
tmp_df8.v203,v203,taludes,0.0,7.0,0
tmp_df8.v203,v203,tableros,0.0,8.0,0
tmp_df8.v203,v203,situflrs,0.0,8.0,0
tmp_df8.v203,v203,taludstn,0.0,7.0,0
tmp_df8.v203,v203,wallmatr,0.0,5.0,0
tmp_df8.v203,v203,wallface,0.0,9.0,0
tmp_df8.v204,v204,ssn,0.0,-1.0,0
tmp_df8.v204,v204,intrushd,0.0,6.0,0
tmp_df8.v204,v204,height,0.0,86.0,0
tmp_df8.v204,v204,pmicarc1,0.0,17.0,0
tmp_df8.v204,v204,mctlarc1,0.0,18.0,0
tmp_df8.v204,v204,xlmearc1,0.0,18.0,0
tmp_df8.v204,v204,oxtoarc1,0.0,14.0,0
tmp_df8.v204,v204,pmicarc2,0.0,17.0,0
tmp_df8.v204,v204,mctlarc2,0.0,20.0,0
tmp_df8.v204,v204,xlmearc2,0.0,19.0,0
tmp_df8.v204,v204,oxtoarc2,0.0,11.0,0
tmp_df8.v204,v204,qualcnst,0.0,5.0,0
tmp_df8.v207,v207,mcxunitn,0.0,2.0,0
tmp_df8.v204,v204,pmicfnc1,0.0,26.0,0
tmp_df8.v205,v205,ssn,0.0,-1.0,0
tmp_df8.v205,v205,mctlfnc1,0.0,29.0,0
tmp_df8.v205,v205,xlmefnc1,0.0,28.0,0
tmp_df8.v205,v205,oxtofnc1,0.0,20.0,0
tmp_df8.v205,v205,pmicfnc2,0.0,25.0,0
tmp_df8.v205,v205,mctlfnc2,0.0,27.0,0
tmp_df8.v205,v205,xlmefnc2,0.0,27.0,0
tmp_df8.v205,v205,oxtofnc2,0.0,14.0,0
tmp_df8.v205,v205,pttzcx1,0.0,11.0,0
tmp_df8.v205,v205,mctlcx1,0.0,11.0,0
tmp_df8.v205,v205,xlmecx1,0.0,11.0,0
tmp_df8.v205,v205,pttzcx2,0.0,9.0,0
tmp_df8.v205,v205,mctlcx2,0.0,8.0,0
tmp_df8.v206,v206,ssn,0.0,-1.0,0
tmp_df8.v206,v206,xlmecx2,0.0,8.0,0
tmp_df8.v206,v206,pttzcxfn,0.0,4.0,0
tmp_df8.v206,v206,mctlcxfn,0.0,6.0,0
tmp_df8.v206,v206,xlmecxfn,0.0,6.0,0
tmp_df8.v206,v206,pttzrsfn,0.0,5.0,0
tmp_df8.v206,v206,mctlrsfn,0.0,6.0,0
tmp_df8.v206,v206,xlmersfn,0.0,6.0,0
tmp_df8.v206,v206,pttztmfn,0.0,6.0,0
tmp_df8.v206,v206,mctltmfn,0.0,6.0,0
tmp_df8.v206,v206,xlmetmfn,0.0,6.0,0
tmp_df8.v206,v206,pttzcvfn,0.0,4.0,0
tmp_df8.v206,v206,mctlcvfn,0.0,4.0,0
tmp_df8.v207,v207,ssn,0.0,-1.0,0
tmp_df8.v207,v207,xlmecvfn,0.0,4.0,0
tmp_df8.v207,v207,xlmeotfn,0.0,9.0,0
tmp_df8.v207,v207,cxunitn,0.0,14.0,0
tmp_df8.v207,v207,pttzmcx,0.0,4.0,0
tmp_df8.v207,v207,mctlmcx,0.0,4.0,0
tmp_df8.v207,v207,xlmemcx,0.0,4.0,0
tmp_df8.v207,v207,pttzmxfn,0.0,3.0,0
tmp_df8.v207,v207,tlxlmxfn,0.0,5.0,0
tmp_df8.v207,v207,xlmemxfn,0.0,5.0,0
tmp_df8.v207,v207,nhoodchr,0.0,5.0,0
tmp_df8.v207,v207,frstndwl,0.0,4.0,0
tmp_df8.v208,v208,ssn,0.0,-1.0,0
tmp_df8.v208,v208,wells,0.0,4.0,0
tmp_df8.v208,v208,jagueys,0.0,4.0,0
tmp_df8.v208,v208,puestos,0.0,4.0,0
tmp_df8.v208,v208,milpa,0.0,6.0,0
tmp_df8.v208,v208,barley,0.0,6.0,0
tmp_df8.v208,v208,beans,0.0,6.0,0
tmp_df8.v208,v208,cutalfal,0.0,5.0,0
tmp_df8.v208,v208,uncalfal,0.0,6.0,0
tmp_df8.v208,v208,nopales,0.0,6.0,0
tmp_df8.v208,v208,magueys,0.0,6.0,0
tmp_df8.v208,v208,fallowld,0.0,6.0,0
tmp_df8.v208,v208,uncultiv,0.0,6.0,0
tmp_df8.v209,v209,ssn,0.0,-1.0,0
tmp_df8.v209,v209,cropwatr,0.0,5.0,0
tmp_df8.v209,v209,plowing,0.0,7.0,0
tmp_df8.v209,v209,cultpits,0.0,6.0,0
tmp_df8.v209,v209,lootpits,0.0,6.0,0
tmp_df8.v209,v209,archexcv,0.0,7.0,0
tmp_df8.v209,v209,miscpits,0.0,7.0,0
tmp_df8.v209,v209,qurrying,0.0,6.0,0
tmp_df8.v209,v209,clrstone,0.0,6.0,0
tmp_df8.v209,v209,ldlvling,0.0,7.0,0
tmp_df8.v209,v209,terracng,0.0,6.0,0
tmp_df8.v209,v209,ditching,0.0,6.0,0
tmp_df8.v209,v209,roadorrr,0.0,6.0,0
tmp_df8.v210,v210,ssn,0.0,-1.0,0
tmp_df8.v210,v210,rcntwall,0.0,5.0,0
tmp_df8.v210,v210,stonerws,0.0,6.0,0
tmp_df8.v210,v210,rcntbldg,0.0,7.0,0
tmp_df8.v210,v210,dam,0.0,4.0,0
tmp_df8.v210,v210,jaguey,0.0,6.0,0
tmp_df8.v210,v210,erosion,0.0,7.0,0
tmp_df8.v210,v210,silting,0.0,6.0,0
tmp_df8.v210,v210,obscsite,0.0,6.0,0
tmp_df8.v210,v210,slope,0.0,5.0,0
tmp_df8.v210,v210,gswkshop,0.0,6.0,0
tmp_df8.v210,v210,obwkshop,0.0,6.0,0
tmp_df8.v210,v210,manos,0.0,27.0,0
tmp_df8.v211,v211,ssn,0.0,-1.0,0
tmp_df8.v211,v211,metates,0.0,26.0,0
tmp_df8.v211,v211,mortars,0.0,10.0,0
tmp_df8.v211,v211,pestles,0.0,6.0,0
tmp_df8.v211,v211,psmoothr,0.0,24.0,0
tmp_df8.v211,v211,plumbbob,0.0,5.0,0
tmp_df8.v211,v211,fixtwall,0.0,5.0,0
tmp_df8.v211,v211,firegods,0.0,5.0,0
tmp_df8.v211,v211,mscstnsc,0.0,6.0,0
tmp_df8.v211,v211,hammers,0.0,24.0,0
tmp_df8.v211,v211,slingstn,0.0,4.0,0
tmp_df8.v211,v211,smthstn,0.0,8.0,0
tmp_df8.v211,v211,whetstn,0.0,4.0,0
tmp_df8.v212,v212,ssn,0.0,-1.0,0
tmp_df8.v212,v212,palettes,0.0,6.0,0
tmp_df8.v212,v212,celts,0.0,2.0,0
tmp_df8.v212,v212,rwkdlaja,0.0,12.0,0
tmp_df8.v212,v212,anvils,0.0,4.0,0
tmp_df8.v212,v212,drains,0.0,5.0,0
tmp_df8.v212,v212,draincvr,0.0,5.0,0
tmp_df8.v212,v212,othergs,0.0,12.0,0
tmp_df8.v212,v212,obsikniv,0.0,31.0,0
tmp_df8.v212,v212,obsiecce,0.0,7.0,0
tmp_df8.v212,v212,obsimgsc,0.0,5.0,0
tmp_df8.v212,v212,bslttool,0.0,19.0,0
tmp_df8.v212,v212,chrtfrag,0.0,9.0,0
tmp_df8.v213,v213,ssn,0.0,-1.0,0
tmp_df8.v213,v213,quartz,0.0,8.0,0
tmp_df8.v213,v213,slatetot,0.0,12.0,0
tmp_df8.v213,v213,slatepnt,0.0,4.0,0
tmp_df8.v213,v213,alabastr,0.0,7.0,0
tmp_df8.v213,v213,serpentn,0.0,8.0,0
tmp_df8.v213,v213,jade,0.0,7.0,0
tmp_df8.v213,v213,wrkdbone,0.0,5.0,0
tmp_df8.v213,v213,shelltot,0.0,14.0,0
tmp_df8.v213,v213,shellwkd,0.0,4.0,0
tmp_df8.v213,v213,figheads,0.0,21.0,0
tmp_df8.v213,v213,ppatfigs,0.0,4.0,0
tmp_df8.v213,v213,patlfigs,0.0,8.0,0
tmp_df8.v214,v214,ssn,0.0,-1.0,0
tmp_df8.v214,v214,tzacfigs,0.0,8.0,0
tmp_df8.v214,v214,miccfigs,0.0,25.0,0
tmp_df8.v214,v214,tlamfigs,0.0,19.0,0
tmp_df8.v214,v214,xolafigs,0.0,20.0,0
tmp_df8.v214,v214,metefigs,0.0,10.0,0
tmp_df8.v214,v214,toltfigs,0.0,6.0,0
tmp_df8.v214,v214,aztefigs,0.0,7.0,0
tmp_df8.v214,v214,puppfigs,0.0,36.0,0
tmp_df8.v214,v214,spinwhrl,0.0,6.0,0
tmp_df8.v214,v214,sealstmp,0.0,4.0,0
tmp_df8.v214,v214,earspool,0.0,4.0,0
tmp_df8.v214,v214,whistles,0.0,4.0,0
tmp_df8.v215,v215,ssn,0.0,-1.0,0
tmp_df8.v215,v215,flutes,0.0,5.0,0
tmp_df8.v215,v215,ceranwk1,0.0,14.0,0
tmp_df8.v215,v215,ceranwk2,0.0,19.0,0
tmp_df8.v215,v215,ceranwk3,0.0,21.0,0
tmp_df8.v215,v215,ceranyr,0.0,11.0,0
tmp_df8.v215,v215,ceranqt,0.0,5.0,0
tmp_df8.v215,v215,fldcwksh,0.0,6.0,0
tmp_df8.v215,v215,fldcabun,0.0,11.0,0
tmp_df8.v215,v215,coatcand,0.0,6.0,0
tmp_df8.v215,v215,atoycand,0.0,4.0,0
tmp_df8.v215,v215,exolcand,0.0,7.0,0
tmp_df8.v215,v215,lxolcand,0.0,7.0,0
tmp_df8.v216,v216,ssn,0.0,-1.0,0
tmp_df8.v216,v216,othpclas,0.0,7.0,0
tmp_df8.v216,v216,ppatcnsr,0.0,4.0,0
tmp_df8.v216,v216,patlcnsr,0.0,5.0,0
tmp_df8.v216,v216,tzaccnsr,0.0,5.0,0
tmp_df8.v216,v216,oxtocnsr,0.0,3.0,0
tmp_df8.v216,v216,xomecnsr,0.0,2.0,0
tmp_df8.v216,v216,mazacnsr,0.0,5.0,0
tmp_df8.v216,v216,aztecnsr,0.0,3.0,0
tmp_df8.v216,v216,tlamsmo,0.0,26.0,0
tmp_df8.v216,v216,patlcoml,0.0,2.0,0
tmp_df8.v216,v216,tzaccoml,0.0,4.0,0
tmp_df8.v216,v216,micccoml,0.0,19.0,0
tmp_df8.v217,v217,ssn,0.0,-1.0,0
tmp_df8.v217,v217,tlamcoml,0.0,18.0,0
tmp_df8.v217,v217,oxtocoml,0.0,5.0,0
tmp_df8.v217,v217,patlnubb,0.0,4.0,0
tmp_df8.v217,v217,apetnubb,0.0,3.0,0
tmp_df8.v217,v217,instnubb,0.0,26.0,0
tmp_df8.v217,v217,flshnubb,0.0,39.0,0
tmp_df8.v217,v217,atoynubb,0.0,3.0,0
tmp_df8.v217,v217,xolanubb,0.0,7.0,0
tmp_df8.v217,v217,metenubb,0.0,7.0,0
tmp_df8.v217,v217,stmpshrd,0.0,5.0,0
tmp_df8.v217,v217,plrfshrd,0.0,9.0,0
tmp_df8.v217,v217,stccshrd,0.0,8.0,0
tmp_df8.v218,v218,ssn,0.0,-1.0,0
tmp_df8.v218,v218,incishrd,0.0,33.0,0
tmp_df8.v218,v218,frnshtot,0.0,22.0,0
tmp_df8.v218,v218,lowmaya,0.0,4.0,0
tmp_df8.v218,v218,highmaya,0.0,3.0,0
tmp_df8.v218,v218,huastec,0.0,8.0,0
tmp_df8.v218,v218,tajin,0.0,4.0,0
tmp_df8.v218,v218,gulfcst,0.0,8.0,0
tmp_df8.v218,v218,montealb,0.0,9.0,0
tmp_df8.v218,v218,oaxaca,0.0,9.0,0
tmp_df8.v218,v218,othfrn,0.0,17.0,0
tmp_df8.v218,v218,adornos,0.0,13.0,0
tmp_df8.v218,v218,miniatur,0.0,11.0,0
tmp_df8.v219,v219,ssn,0.0,-1.0,0
tmp_df8.v219,v219,copas,0.0,16.0,0
tmp_df8.v219,v219,mattware,0.0,25.0,0
tmp_df8.v219,v219,grantots,0.0,50.0,0
tmp_df8.v219,v219,pmicgran,0.0,12.0,0
tmp_df8.v219,v219,miccgran,0.0,31.0,0
tmp_df8.v219,v219,tlamgran,0.0,27.0,0
tmp_df8.v219,v219,xolagran,0.0,11.0,0
tmp_df8.v219,v219,metegran,0.0,4.0,0
tmp_df8.v219,v219,ceradisk,0.0,20.0,0
tmp_df8.v219,v219,sobsiwk1,0.0,6.0,0
tmp_df8.v219,v219,sobsiwk2,0.0,4.0,0
tmp_df8.v219,v219,kcerawks,0.0,3.0,0
tmp_df8.v220,v220,ssn,0.0,-1.0,0
tmp_df8.v220,v220,bfigconc,0.0,3.0,0
tmp_df8.v220,v220,insubstr,0.0,13.0,0
tmp_df8.v220,v220,qualbnd,0.0,4.0,0
tmp_df8.v301,v301,ssn,0.0,-1.0,0
tmp_df8.v301,v301,site,0.0,197.0,0
tmp_df8.v301,v301,obsiblds,0.0,189.0,0
tmp_df8.v301,v301,obsiscrp,0.0,78.0,0
